property_id,lat,lng,addr_street,suburb,lga,closet_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,number_of_houses,number_of_units,municipality,aus_born_perc,median_income,median_house_price,population,closest_train_station_id
70019,-37.871215,145.107825,39 Teck Street,ASHWOOD,DAREBIN,19840,0.46,,0,2378,1176,Monash,73,1469,1436500,12420,19840.0
92534,-37.98538208,145.094162,1/171 Warren Rd,MORDIALLOC,PORT PHILLIP,19864,1.784,21.428571428571427,1,2949,2322,Kingston,76,1492,1228700,24045,19864.0
44350,-37.691167,145.093183,16 Booyan Crescent,GREENSBOROUGH,GLEN EIRA,19985,1.946,22.39189189189189,1,7426,2533,Banyule,83,1524,984000,26045,19985.0
13413,-37.71774673,144.7797546,7 Montagu Way,DELAHEY,BULOKE,20001,1.779,14.857142857142858,1,2193,541,Brimbank,64,1491,648400,27356,20001.0
16276,-37.706453,144.952714,10 Staples Court,HADFIELD,WYNDHAM,19961,0.841,13.8,1,2326,712,Moreland,66,1004,805000,27707,19961.0
51512,-37.781406,145.129216,5 The Glades,DONCASTER,MORELAND,20042,4.265,11.86808510638298,1,7598,4243,Manningham,58,1242,1446200,17447,20042.0
91459,-37.985235,145.04983,24 Wells Road,BEAUMARIS,TOWONG,19865,1.397,20.61904761904762,1,5041,1732,Bayside,79,1845,1882800,17536,19865.0
47754,-37.798385,145.04533500000005,11 Asquith Street,KEW,SOUTH GIPPSLAND,19931,2.547,13.333333333333334,1,8044,6097,Boroondara,73,2022,2332200,21677,19931.0
86176,-37.9202626,144.99101389999996,15 Norwood Avenue,BRIGHTON,HUME,19950,0.712,,0,8625,6345,Bayside,77,2200,2483600,20135,19950.0
5095,-37.86358,144.843746,26 Stirling Avenue,SEAHOLME,WHITEHORSE,19927,0.534,,0,826,188,Hobsons Bay,70,1160,1316200,11742,19927.0
21839,-37.748877,144.976659,113 Nicholson Street,COBURG,MOONEE VALLEY,19965,1.38,10.909090909090908,1,10323,4557,Moreland,63,1268,1129500,29021,19965.0
34080,-37.731326,145.026698,18A Newton Street,RESERVOIR,EAST GIPPSLAND,20011,2.131,17.166666666666668,1,16913,8713,Darebin,63,972,861800,45591,20011.0
38724,-37.77499771,145.041214,20 Merton Street,IVANHOE,BASS COAST,19932,0.241,13.11864406779661,1,4147,2613,Banyule,77,1709,1560600,14278,19932.0
81386,-37.983263,145.20428,55 Hemmings Street,DANDENONG,CARDINIA,19888,0.886,22.110294117647058,1,8074,9600,Greater Dandenong,48,899,685100,45248,19888.0
73007,-37.84739,145.29918899999996,153 Albert Avenue,BORONIA,TOWONG,19869,1.951,20.794392523364486,1,8285,4281,Knox,79,1162,832500,20314,19869.0
48033,-37.798922,145.022446,19B Redmond Street,KEW,SOUTH GIPPSLAND,19930,2.252,12.693877551020408,1,8044,6097,Boroondara,73,2022,2332200,21677,19930.0
46744,-37.70412827,145.14785769999995,189 Scenic Crescent,ELTHAM NORTH,ARARAT,19987,1.049,26.24418604651163,1,2175,118,Nillumbik,85,1923,1227100,28827,19987.0
